,count
해외,26772
국내,23818
가요,14821
감성적인,14733
팝송,14645
밤/새벽,13225
카페,13106
휴식/명상,12082
드라이브,11234
신나는,10196
가을,9381
인디,7872
그루브한,7628
발라드한,7585
기분전환,7533
경쾌한,6893
여름,6585
겨울,6228
힐링,6150
잔잔한,5757
국내 인디,5677
연주곡,5642
재즈,5414
산책/여행,5363
알앤비,5102
사랑/기쁨,4930
스트레스/짜증,4607
공연/페스티벌,4550
봄,4340
그리움,4217
일상,4196
저녁,4097
이별/슬픔,4014
화창한 날,3946
힙합,3909
락,3866
비/흐림,3830
KPOP,3729
아이돌,3693
등교/출근길,3607
일렉트로닉,3531
청량한,3472
달달한,3467
운동/헬스,3359
오후,3356
올디스,3289
페스티벌,3270
공부할 때,3157
감각적인,3093
사무실,3076
아침,3052
쌀쌀한 날,2999
지치고 힘들때,2948
우울할때,2889
출근/퇴근길,2879
방안에서,2876
2010년대,2828
새벽감성,2731
편집숍/매장,2624
클럽/파티,2624
독서,2615
어쿠스틱한,2591
선선한,2551
목소리/음색,2525
OST,2509
술집/펍,2501
폭염/더위,2485
애절한,2369
뉴에이지,2334
일렉트로닉팝,2326
크리스마스,2255
클래식,2242
7080세대,2190
공연/라이브,2184
잠들기 전,2168
8090세대,2134
몽환적인,2067
쓸쓸한,2060
설렘/심쿵,2058
7080,2030
미세먼지/황사,1997
혼술혼밥,1968
비온후/맑게갠,1944
강한,1925
환절기,1908
소울풀한,1907
싱숭생숭,1901
시원한,1897
외로울때,1876
울고 싶을때,1834
눈오는 날,1789
상쾌한,1756
EDM,1755
호텔/바,1707
고백,1679
멘붕/불안,1577
썸 탈때,1574
듀엣/피처링,1559
섹시한,1557
1990년대,1422
트로트,1353
노래방,1342
나들이/소풍,1294
걸그룹,1254
2000년대,1250
2020년대,1087
리메이크,999
하교/퇴근길,977
J-POP,914
1980년대,834
월드뮤직,755
1970년대,732
보사노바,693
 뉴에이지,643
BGM,487
동요/키즈,475
청춘,445
결혼,403
CCM,364
태교,331
유튜브,272
1960년대,232
 클래식,231
답답할때,221
10대,185
20대,179
패션쇼,116
뮤지컬,115
5060세대,112
인스타그램,64
국악,59
합창,46
틱톡,23
광고,5
tag,1
